blacklisted_by_me;can_see_all_posts;can_send_friend_request;city;faculty;graduation;has_photo;relation;wall_comments;universities_country;universities_graduation;universities_faculty;personal_lang_Русский;personal_lang_English;personal_alcohol;personal_people_main;personal_smoking;personal_lang_Романи;personal_lang_Italiano;school_city;school_country;school_type;school_year_graduated;career_city_id;career_group_id;career_until;uid;uid;uid
0.0;1.0;1.0;17.0;0.0;0.0;0;1.0;1.0;;;;0.0;0.0;4.0;6.0;1.0;0.0;0.0;72.0;1.0;2.0;;;;;261959499;261959499;261959499
0.0;1.0;1.0;2.0;103.0;2013.0;1;0.0;1.0;1.0;2013.0;103.0;0.0;0.0;;;;0.0;0.0;;;;;;;;72605516;72605516;72605516
0.0;1.0;1.0;37.0;31741.0;2016.0;1;0.0;1.0;1.0;2016.0;31741.0;0.0;0.0;;;;0.0;0.0;;;;;;;;137885666;137885666;137885666
0.0;1.0;1.0;0.0;0.0;0.0;1;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;314.0;2.0;2.0;2014.0;;;;213958016;213958016;213958016
0.0;1.0;1.0;1686.0;688462.0;2011.0;1;1.0;1.0;1.0;2010.0;22.0;1.0;1.0;2.0;3.0;2.0;0.0;0.0;151.0;1.0;;1990.0;151.0;;2008.0;134385353;134385353;134385353
0.0;0.0;1.0;125.0;;;1;;1.0;;;;0.0;0.0;;;;0.0;0.0;;;;;;;;7105650;7105650;7105650
0.0;1.0;1.0;33.0;0.0;0.0;1;1.0;1.0;;;;0.0;0.0;;;;0.0;0.0;33.0;1.0;1.0;;;;;361470366;361470366;361470366
0.0;1.0;1.0;125.0;0.0;0.0;1;4.0;1.0;;;;0.0;0.0;;;;0.0;0.0;125.0;1.0;;2018.0;;;;322900722;322900722;322900722
0.0;1.0;1.0;1114638.0;0.0;0.0;0;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;1114638.0;1.0;;;;;;170540595;170540595;170540595
0.0;1.0;1.0;14210.0;0.0;0.0;0;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;14210.0;1.0;;;;;;50765733;50765733;50765733
0.0;1.0;1.0;94.0;0.0;2011.0;1;0.0;1.0;1.0;2011.0;;0.0;0.0;;;;0.0;0.0;94.0;1.0;;;;;;275304519;275304519;275304519
0.0;1.0;1.0;80.0;0.0;0.0;0;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;80.0;0.0;;;;;;19936432;19936432;19936432
0.0;1.0;1.0;1.0;;;1;;1.0;;;;0.0;0.0;;;;0.0;0.0;;;;;;;;2532945;2532945;2532945
0.0;1.0;1.0;1009964.0;0.0;0.0;1;4.0;1.0;;;;0.0;0.0;;;;0.0;0.0;1009964.0;1.0;;1989.0;;;;155691666;155691666;155691666
0.0;1.0;1.0;1519120.0;0.0;0.0;0;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;1519120.0;119.0;;2012.0;;;;197972575;197972575;197972575
0.0;1.0;1.0;20950.0;0.0;0.0;1;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;20950.0;1.0;;;;;;185330255;185330255;185330255
0.0;1.0;1.0;1.0;0.0;0.0;0;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;1.0;1.0;;;;;;310361114;310361114;310361114
0.0;1.0;1.0;0.0;0.0;0.0;1;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;1057.0;2.0;;;;;;153766277;153766277;153766277
0.0;1.0;1.0;182.0;0.0;0.0;1;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;182.0;1.0;;;;;;183630511;183630511;183630511
0.0;1.0;1.0;1.0;0.0;0.0;1;1.0;1.0;1.0;;;0.0;0.0;;;;0.0;0.0;155.0;1.0;2.0;1978.0;1.0;;2009.0;56407596;56407596;56407596
0.0;1.0;1.0;4410.0;0.0;0.0;0;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;4410.0;1.0;;2017.0;;;;181980634;181980634;181980634
0.0;1.0;1.0;1014618.0;0.0;0.0;0;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;1014618.0;1.0;4.0;1975.0;;;;247235436;247235436;247235436
0.0;1.0;1.0;1.0;381.0;2015.0;1;0.0;1.0;1.0;2015.0;381.0;0.0;0.0;;;;0.0;0.0;;;;;;;;313721942;313721942;313721942
0.0;0.0;1.0;5103.0;;;1;;1.0;;;;0.0;0.0;;;;0.0;0.0;;;;;;;;96221099;96221099;96221099
0.0;1.0;1.0;916.0;60613.0;2016.0;1;0.0;1.0;2.0;2016.0;60613.0;0.0;0.0;3.0;1.0;;0.0;0.0;916.0;2.0;10.0;1995.0;;;;361347461;361347461;361347461
0.0;1.0;1.0;377.0;12996.0;2018.0;0;0.0;1.0;2.0;2018.0;12996.0;0.0;0.0;;;;0.0;0.0;377.0;2.0;;2019.0;;;;191576007;191576007;191576007
0.0;1.0;1.0;72.0;0.0;0.0;0;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;72.0;1.0;1.0;;;;;123050772;123050772;123050772
0.0;1.0;1.0;119.0;0.0;1997.0;1;0.0;1.0;1.0;1997.0;;0.0;0.0;;;;0.0;0.0;72.0;1.0;1.0;1991.0;;;;219784257;219784257;219784257
0.0;1.0;1.0;476.0;0.0;0.0;1;5.0;1.0;;;;0.0;0.0;;;;0.0;0.0;476.0;0.0;;;;;;37005958;37005958;37005958
